source,bias,factual_reporting,country,media_type,popularity,mbfc_credibility_rating
thelandmark.com,neutral,high,usa,newspaper,minimal traffic,high credibility
chicoer.com,neutral,high,usa,newspaper,minimal traffic,high credibility
chinookobserver.com,neutral,high,usa,newspaper,minimal traffic,high credibility
chippewa.com,neutral,high,usa,newspaper,minimal traffic,high credibility
csmonitor.com,neutral,high,usa,magazine,medium traffic,high credibility
citynews.ca,neutral,high,canada,radio station,high traffic,high credibility
clarindaherald.com,neutral,high,usa,newspaper,medium traffic,high credibility
cctimesdemocrat.com,neutral,high,usa,newspaper,minimal traffic,high credibility
claytodayonline.com,neutral,high,usa,newspaper,minimal traffic,high credibility
claytonrecord.com,neutral,high,usa,newspaper,minimal traffic,high credibility
columbustelegram.com,neutral,high,usa,newspaper,minimal traffic,high credibility
cnet.com,neutral,high,usa,website,high traffic,high credibility
ced.org,neutral,high,usa,organization/foundation,minimal traffic,high credibility
cpj.org,neutral,high,usa,organization/foundation,minimal traffic,high credibility
communityimpact.com,neutral,high,usa,website,medium traffic,high credibility
independenttribune.com,neutral,high,usa,newspaper,minimal traffic,high credibility
concordmonitor.com,neutral,high,usa,newspaper,medium traffic,high credibility
congress.gov,neutral,high,usa,organization/foundation,high traffic,high credibility
cbo.gov,neutral,high,usa,organization/foundation (government),medium traffic,high credibility
constitutioncenter.org,neutral,high,usa,organization/foundation,medium traffic,high credibility
consumerreports.org,neutral,high,usa,magazine,high traffic,high credibility
cookcountynews-herald.com,neutral,high,usa,newspaper,minimal traffic,high credibility
cookpolitical.com,neutral,high,usa,website,medium traffic,high credibility
corriere.it,neutral,high,italy,newspaper,high traffic,high credibility
coronavirus.gov,neutral,high,usa,organization/foundation,high traffic,high credibility
gazettetimes.com,neutral,high,usa,newspaper,medium traffic,high credibility
cfr.org,neutral,high,usa,organization/foundation,medium traffic,high credibility
countable.com,neutral,high,usa,organization/foundation,minimal traffic,high credibility
countryliving.com,neutral,high,usa,magazine,high traffic,high credibility
courthousenews.com,neutral,high,usa,website,medium traffic,high credibility
courttv.com,neutral,high,usa,tv station,high traffic,high credibility
covidtracking.com,neutral,high,usa,website,minimal traffic,high credibility
cp24.com,neutral,high,canada,tv station,high traffic,high credibility
craigdailypress.com,neutral,high,usa,newspaper,minimal traffic,high credibility
crainscleveland.com,neutral,high,usa,magazine,medium traffic,high credibility
crainsdetroit.com,neutral,high,usa,magazine,medium traffic,high credibility
cruxnow.com,neutral,high,usa,website,medium traffic,high credibility
ctvnews.ca,neutral,high,canada,tv station,high traffic,high credibility
starexponent.com,neutral,high,usa,newspaper,minimal traffic,high credibility
dccircuitbreaker.org,neutral,high,usa,website,minimal traffic,high credibility
dailycamera.com,neutral,high,usa,newspaper,mediumtraffic,high credibility
dailyjournalonline.com,neutral,high,usa,newspaper,minimal traffic,high credibility
dailymaverick.co.za,neutral,high,south africa,website,high traffic,high credibility
nonpareilonline.com,neutral,high,usa,newspaper,minimal traffic,high credibility
dailyrecord.com,neutral,high,usa,newspaper,medium traffic,high credibility
godanriver.com,neutral,high,usa,newspaper,minimal traffic,high credibility
darientimes.com,neutral,high,usa,newspaper,minimal traffic,high credibility
daytondailynews.com,neutral,high,usa,newspaper,medium traffic,high credibility
defensenews.com,neutral,high,usa,website,medium traffic,high credibility
defenseone.com,neutral,high,usa,website,medium traffic,high credibility
shawlocal.com,neutral,high,usa,newspaper,medium traffic,high credibility
delawarelive.com,neutral,high,usa,website,minimal traffic,high credibility
dbrnews.com,neutral,high,usa,newspaper,minimal traffic,high credibility
dentonrc.com,neutral,high,usa,newspaper,medium traffic,high credibility
desmoinesregister.com,neutral,high,usa,newspaper,high traffic,high credibility
standaard.be,neutral,high,belgium,newspaper,high traffic,high credibility
detik.com,neutral,mixed,indonesia,website,high traffic,high credibility
differencebetween.net,neutral,high,usa,website,medium traffic,high credibility
digi24.ro,neutral,high,romania,tv station,high traffic,high credibility
digitaljournal.com,neutral,high,usa,website,medium traffic,high credibility
qconline.com,neutral,high,usa,newspaper,medium traffic,high credibility
dmagazine.com,neutral,high,usa,magazine,medium traffic,high credibility
doctorswithoutborders.org,neutral,high,france,organization/foundation,medium traffic,high credibility
dodgeglobe.com,neutral,high,usa,newspaper,minimal traffic,high credibility
dorsetecho.co.uk,neutral,high,united kingdom,newspaper,medium traffic,high credibility
dothaneagle.com,neutral,high,usa,newspaper,medium traffic,high credibility
dpa.com,neutral,high,germany,news agency,high traffic,high credibility
ladowntownnews.com,neutral,high,usa,newspaper,minimal traffic,high credibility
duluthnewstribune.com,neutral,high,usa,newspaper,medium traffic,high credibility
eagletribune.com,neutral,high,usa,newspaper,medium traffic,high credibility
yourobserver.com,neutral,high,usa,newspaper,minimal traffic,high credibility
edp24.co.uk,neutral,high,united kingdom,newspaper,high traffic,high credibility
eastidahonews.com,neutral,high,usa,website,medium traffic,high credibility
eastvalleytribune.com,neutral,high,usa,newspaper,medium traffic,high credibility
eatthis.com,neutral,mixed,usa,website,high traffic,high credibility
leadertelegram.com,neutral,high,usa,newspaper,medium traffic,high credibility
elkodaily.com,neutral,high,usa,newspaper,minimal traffic,high credibility
elnuevodia.com,neutral,high,puerto rico/usa,newspaper,high traffic,high credibility
yoursun.com,neutral,high,usa,newspaper,minimal traffic,high credibility
goerie.com,neutral,high,usa,newspaper,medium traffic,high credibility
err.ee,neutral,high,estonia,tv station,high traffic,high credibility
dailypress.net,neutral,high,usa,newspaper,minimal traffic,high credibility
echo-news.co.uk,neutral,high,united kingdom,newspaper,medium traffic,high credibility
eurasiagroup.net,left-center,high,usa,organization/foundation,minimal traffic,high credibility
times-standard.com,neutral,high,usa,newspaper,minimal traffic,high credibility
everycrsreport.com,neutral,high,usa,organization/foundation,minimal traffic,high credibility
factcheck.org,neutral,high,usa,organization/foundation,high traffic,high credibility
factwire.org,neutral,high,usa,website,minimal traffic,high credibility
fairmontsentinel.com,neutral,high,usa,newspaper,minimal traffic,high credibility
fayobserver.com,neutral,high,usa,newspaper,medium traffic,high credibility
federalnewsnetwork.com,neutral,high,usa,radio station,medium traffic,high credibility
ft.com,neutral,high,united kingdom,newspaper,high traffic,high credibility
firstcoastnews.com,neutral,high,usa,tv station,medium traffic,high credibility
firstdraftnews.org,neutral,high,usa,organization/foundation,minimal traffic,high credibility
sentinelandenterprise.com,neutral,high,usa,newspaper,minimal traffic,high credibility
floridapolitics.com,neutral,high,usa,website,medium traffic,high credibility
jacksonville.com,left-center,high,usa,newspaper,medium traffic,high credibility
foreignaffairs.com,neutral,high,usa,journal,medium traffic,high credibility
foreignpolicy.com,neutral,high,usa,magazine,high traffic,high credibility
messengernews.net,neutral,high,usa,newspaper,minimal traffic,high credibility
ftleavenworthlamp.com,neutral,high,usa,newspaper,minimal traffic,high credibility
fortmorgantimes.com,neutral,high,usa,newspaper,minimal traffic,high credibility
fosters.com,neutral,high,usa,newspaper,medium traffic,high credibility
fourstateshomepage.com,neutral,high,usa,tv station,medium traffic,high credibility
france24.com,neutral,high,france,tv station,high traffic,high credibility
thefranklinnewspost.com,neutral,high,usa,newspaper,minimal traffic,high credibility
fredericksburg.com,neutral,high,usa,newspaper,medium traffic,high credibility
fredericknewspost.com,neutral,high,usa,newspaper,medium traffic,high credibility
fremonttribune.com,neutral,high,usa,newspaper,minimal traffic,high credibility
advocate-news.com,neutral,high,usa,newspaper,minimal traffic,high credibility
fullfact.org,neutral,high,united kingdom,organization/foundation,medium traffic,high credibility
gallup.com,neutral,high,usa,organization/foundation,high traffic,high credibility
gctelegram.com,neutral,high,usa,newspaper,minimal traffic,high credibility
geek.com,neutral,high,usa,website,minimal traffic,high credibility
geekwire.com,neutral,high,usa,website,medium traffic,high credibility
gilbertsunnews.com,neutral,high,usa,newspaper,minimal traffic,high credibility
sun-courier.com,neutral,high,usa,newspaper,minimal traffic,high credibility
gladstonedispatch.com,neutral,high,usa,newspaper,minimal traffic,high credibility
glendalestar.com,neutral,high,usa,newspaper,minimal traffic,high credibility
postindependent.com,neutral,high,usa,newspaper,medium traffic,high credibility
globalintegrity.org,neutral,high,usa,organization/foundation,minimal traffic,high credibility
globalslaveryindex.org,neutral,high,australia,website,minimal traffic,high credibility
globegazette.com,neutral,high,usa,newspaper,medium traffic,high credibility
goodnewsnetwork.org,neutral,high,usa,website,medium traffic,high credibility
gao.gov,neutral,high,usa,organization/foundation,medium traffic,high credibility
govtrack.us,neutral,high,usa,website,medium traffic,high credibility
granitefallsnews.com,neutral,high,usa,newspaper,minimal traffic,high credibility
thegraftonnews.com,neutral,high,usa,newspaper,minimal traffic,high credibility
theindependent.com,neutral,high,usa,newspaper,medium traffic,high credibility
greatfallstribune.com,neutral,high,usa,newspaper,minimal traffic,high credibility
greenbaypressgazette.com,neutral,high,usa,newspaper,medium traffic,high credibility
greenvilleonline.com,neutral,high,usa,newspaper,medium traffic,high credibility
ground.news,neutral,mixed,canada,website/app,high traffic,high credibility
group30.org,neutral,high,usa,organization/foundation,minimal traffic,high credibility
presstelegram.com,neutral,high,usa,newspaper,medium traffic,high credibility
ycombinator.com,neutral,mixed,usa,website,high traffic,high credibility
hiawathaworldonline.com,neutral,high,usa,newspaper,minimal traffic,high credibility
hamburgreporter.com,neutral,high,usa,newspaper,minimal traffic,high credibility
journal-news.com,neutral,high,usa,newspaper,medium traffic,high credibility
hanfordsentinel.com,neutral,mixed,usa,newspaper,minimal traffic,high credibility
hbr.org,neutral,high,usa,magazine,high traffic,high credibility
harvard.edu,neutral,high,usa,website,medium traffic,high credibility
hastingstribune.com,neutral,high,usa,newspaper,minimal traffic,high credibility
hdnews.net,neutral,high,usa,newspaper,minimal traffic,high credibility
herald-review.com,neutral,high,usa,newspaper,medium traffic,high credibility
dailybreeze.com,neutral,high,usa,newspaper,medium traffic,high credibility
heterodoxacademy.org,neutral,high,usa,organization/foundation,minimal traffic,high credibility
hickoryrecord.com,neutral,high,usa,newspaper,medium traffic,high credibility
homelandsecuritynewswire.com,neutral,high,usa,website,minimal traffic,high credibility
howstuffworks.com,neutral,high,usa,website,high traffic,high credibility
howtogeek.com,neutral,high,usa,website,high traffic,high credibility
i24news.tv,neutral,mixed,israel,website,medium traffic,medium credibility
idahostatesman.com,neutral,high,usa,website,medium traffic,high credibility
inc.com,neutral,high,usa,magazine,high traffic,high credibility
helenair.com,neutral,high,usa,newspaper,medium traffic,high credibility
ivn.us,neutral,high,usa,organization/foundation,minimal traffic,high credibility
indexmundi.com,neutral,high,usa,website,medium traffic,high credibility
indystar.com,neutral,high,usa,newspaper,high traffic,high credibility
dailybulletin.com,neutral,high,usa,newspaper,medium traffic,high credibility
iwpr.org,neutral,high,usa,organization/foundation,minimal traffic,high credibility
ipi.media,neutral,high,austria,organization/foundation,minimal traffic,high credibility
investing.com,neutral,mixed,cyprus,website,high traffic,medium credibility
investopedia.com,neutral,high,usa,website,high traffic,high credibility
ipsos.com,neutral,high,france,organization/foundation,medium traffic,high credibility
ironmountaindailynews.com,neutral,high,usa,newspaper,minimal traffic,high credibility
jaxdailyrecord.com,neutral,high,usa,newspaper,minimal traffic,high credibility
japantimes.co.jp,neutral,high,japan,newspaper,high traffic,high credibility
kaaltv.com,neutral,high,usa,tv station,medium traffic,high credibility
abc7.com,neutral,high,usa,tv station,high traffic,high credibility
kadn.com,neutral,high,usa,tv station,minimal traffic,high credibility
kagstv.com,neutral,high,usa,tv station,minimal traffic,high credibility
kait8.com,neutral,high,usa,tv station,mediumtraffic,high credibility
kalb.com,neutral,high,usa,tv station,medium traffic,high credibility
everythinglubbock.com,neutral,high,usa,tv station,medium traffic,high credibility
myhighplains.com,neutral,high,usa,tv station,medium traffic,high credibility
yaktrinews.com,neutral,high,usa,tv station,medium traffic,high credibility
myarklamiss.com,neutral,high,usa,tv station,medium traffic,high credibility
kare11.com,neutral,high,usa,tv station,high traffic,high credibility
kark.com,neutral,high,usa,tv station,medium traffic,high credibility
katc.com,neutral,high,usa,tv station,medium traffic,high credibility
alaskasnewssource.com,neutral,high,usa,tv station,medium traffic,high credibility
newschannel6now.com,neutral,high,usa,tv station,medium traffic,high credibility
crossroadstoday.com,neutral,high,usa,tv station,minimal traffic,high credibility
kbjr6.com,neutral,high,usa,tv station,medium traffic,high credibility
12newsnow.com,neutral,high,usa,tv station,medium traffic,high credibility
kbtx.com,neutral,high,usa,tv station,medium traffic,high credibility
kcbd.com,neutral,high,usa,tv station,medium traffic,high credibility
kcci.com,neutral,high,usa,tv station,medium traffic,high credibility
thedenverchannel.com,neutral,high,usa,tv station,high traffic,high credibility
kcentv.com,neutral,high,usa,tv station,medium traffic,high credibility
newspressnow.com,neutral,high,usa,tv station,medium traffic,high credibility
kcrg.com,neutral,high,usa,tv station,medium traffic,high credibility
q13fox.com,neutral,high,usa,tv station,medium traffic,high credibility
kcra.com,neutral,high,usa,tv station,high traffic,high credibility
kctv5.com,neutral,high,usa,tv station,medium traffic,high credibility
cw33.com,neutral,high,usa,tv station,medium traffic,high credibility
cbs4local.com,right-center,high,usa,tv station,medium traffic,high credibility
fox4news.com,neutral,high,usa,tv station,high traffic,high credibility
kdrv.com,neutral,high,usa,tv station,medium traffic,high credibility
kdvr.com,neutral,high,usa,tv station,medium traffic,high credibility
kearneyhub.com,neutral,high,usa,newspaper,minimal traffic,high credibility
keloland.com,neutral,high,usa,tv station,medium traffic,high credibility
kens5.com,neutral,high,usa,tv station,medium traffic,high credibility
turnto23.com,neutral,high,usa,tv station,medium traffic,high credibility
kesq.com,neutral,high,usa,tv station,medium traffic,high credibility
ketk.com,neutral,high,usa,tv station,medium traffic,high credibility
ketv.com,neutral,high,usa,tv station,high traffic,high credibility
blackhillsfox.com,neutral,high,usa,tv station,minimal traffic,high credibility
keyc.com,neutral,high,usa,tv station,minimal traffic,high credibility
cbsaustin.com,right-center,high,usa,tv station,medium traffic,high credibility
keyt.com,neutral,high,usa,tv station,medium traffic,high credibility
keysnews.com,neutral,high,usa,newspaper,minimal traffic,high credibility
kezi.com,neutral,high,usa,tv station,medium traffic,high credibility
newschannel10.com,neutral,high,usa,tv station,medium traffic,high credibility
cbs8.com,neutral,high,usa,tv station,medium traffic,high credibility
nwahomepage.com,neutral,high,usa,tv station,medium traffic,high credibility
kfvs12.com,neutral,high,usa,tv station,medium traffic,high credibility
kfyrtv.com,neutral,high,usa,tv station,medium traffic,high credibility
kget.com,neutral,high,usa,tv station,medium traffic,high credibility
hawaiinewsnow.com,neutral,high,usa,tv station,high traffic,high credibility
kgns.tv,neutral,high,usa,tv station,medium traffic,high credibility
yourcentralvalley.com,neutral,high,usa,tv station,medium traffic,high credibility
kgw.com,neutral,high,usa,tv station,high traffic,high credibility
wyomingnewsnow.tv,neutral,high,usa,tv station,minimal traffic,high credibility
4029tv.com,neutral,high,usa,tv station,medium traffic,high credibility
khits.com,neutral,high,usa,radio station,minimal traffic,high credibility
khon2.com,neutral,high,usa,tv station,medium traffic,high credibility
khou.com,neutral,high,usa,tv station,high traffic,high credibility
actionnewsnow.com,neutral,high,usa,tv station,medium traffic,high credibility
cw39.com,neutral,high,usa,tv station,medium traffic,high credibility
myfoxzone.com,neutral,high,usa,tv station,minimal traffic,high credibility
kiem-tv.com,neutral,high,usa,tv station,minimal traffic,high credibility
localnews8.com,neutral,high,usa,tv station,medium traffic,high credibility
kiiitv.com,neutral,high,usa,tv station,medium traffic,high credibility
kimt.com,neutral,high,usa,tv station,medium traffic,high credibility
king5.com,neutral,high,usa,tv station,high traffic,high credibility
kion546.com,neutral,high,usa,tv station,medium traffic,high credibility
kiowacountysignal.com,neutral,high,usa,newspaper,minimal traffic,high credibility
kiplinger.com,neutral,high,usa,magazine,high traffic,high credibility
kiro7.com,neutral,high,usa,tv station,medium traffic,high credibility
kitv.com,neutral,high,usa,tv station,medium traffic,high credibility
kivitv.com,neutral,high,usa,tv station,medium traffic,high credibility
kjct8.com,neutral,high,usa,tv station,minimal traffic,high credibility
kktv.com,neutral,high,usa,tv station,medium traffic,high credibility
8newsnow.com,neutral,high,usa,tv station,medium traffic,high credibility
klax-tv.com,neutral,high,usa,tv station,minimal traffic,high credibility
klfy.com,neutral,high,usa,tv station,medium traffic,high credibility
ourquadcities.com,neutral,high,usa,tv station,medium traffic,high credibility
fox16.com,neutral,high,usa,tv station,medium traffic,high credibility
kltv.com,neutral,high,usa,tv station,medium traffic,high credibility
kmbc.com,neutral,high,usa,tv station,medium traffic,high credibility
abc17news.com,neutral,high,usa,tv station,medium traffic,high credibility
kmov.com,neutral,high,usa,tv station,medium traffic,high credibility
nbcnebraskascottsbluff.com,neutral,high,usa,tv station,minimal traffic,high credibility
3newsnow.com,neutral,high,usa,tv station,medium traffic,high credibility
kmvt.com,neutral,high,usa,tv station,minimal traffic,high credibility
knoe.com,neutral,high,usa,tv station,medium traffic,high credibility
knopnews2.com,neutral,high,usa,tv station,minimal traffic,high credibility
1011np.com,neutral,high,usa,tv station,minimal traffic,high credibility
abc15.com,neutral,high,usa,tv station,high traffic,high credibility
koaa.com,neutral,high,usa,tv station,medium traffic,high credibility
koamnewsnow.com,neutral,high,usa,tv station,medium traffic,high credibility
koat.com,neutral,high,usa,tv station,medium traffic,high credibility
kob.com,neutral,high,usa,tv station,medium traffic,high credibility
koin.com,neutral,high,usa,tv station,medium traffic,high credibility
fox23.com,neutral,high,usa,tv station,medium traffic,high credibility
kold.com,neutral,high,usa,tv station,medium traffic,high credibility
1011now.com,neutral,high,usa,tv station,medium traffic,high credibility
kolotv.com,neutral,high,usa,tv station,medium traffic,high credibility
ozarksfirst.com,neutral,high,usa,tv station,medium traffic,high credibility
kompas.com,neutral,mixed,indonesia,website,high traffic,high credibility
cbs7.com,neutral,high,usa,tv station,medium traffic,high credibility
kotatv.com,neutral,high,usa,tv station,medium traffic,high credibility
newson6.com,neutral,high,usa,tv station,high traffic,high credibility
kpax.com,neutral,high,usa,tv station,medium traffic,high credibility
kristv.com,neutral,high,usa,tv station,medium traffic,high credibility
kplctv.com,neutral,high,usa,tv station,medium traffic,high credibility
click2houston.com,neutral,high,usa,tv station,high traffic,high credibility
kptv.com,neutral,high,usa,tv station,medium traffic,high credibility
kpvi.com,neutral,high,usa,tv station,medium traffic,high credibility
krdo.com,neutral,high,usa,tv station,medium traffic,high credibility
krem.com,neutral,high,usa,tv station,medium traffic,high credibility
fox26houston.com,neutral,high,usa,tv station,medium traffic,high credibility
kron4.com,neutral,high,usa,tv station,medium traffic,high credibility
krqe.com,neutral,high,usa,tv station,medium traffic,high credibility
krtv.com,neutral,high,usa,tv station,medium traffic,high credibility
ksat.com,neutral,high,usa,tv station,high traffic,high credibility
fox10phoenix.com,neutral,high,usa,tv station,high traffic,high credibility
ksbw.com,neutral,high,usa,tv station,medium traffic,high credibility
ksdk.com,neutral,high,usa,tv station,high traffic,high credibility
dakotanewsnow.com,neutral,high,usa,tv station,medium traffic,high credibility
kshb.com,neutral,high,usa,tv station,medium traffic,high credibility
ksl.com,neutral,high,usa,tv station,high traffic,high credibility
ksla.com,neutral,high,usa,tv station,medium traffic,high credibility
ksnblocal4.com,neutral,high,usa,tv station,medium traffic,high credibility
ksnt.com,neutral,high,usa,tv station,medium traffic,high credibility
ksn.com,neutral,high,usa,tv station,medium traffic,high credibility
ky3.com,neutral,high,usa,tv station,medium traffic,high credibility
kstp.com,neutral,high,usa,tv station,high traffic,high credibility
fox5sandiego.com,neutral,high,usa,tv station,medium traffic,high credibility
kswo.com,neutral,high,usa,tv station,medium traffic,high credibility
bigcountryhomepage.com,neutral,high,usa,tv station,medium traffic,high credibility
arklatexhomepage.com,neutral,high,usa,tv station,minimal traffic,high credibility
fox7austin.com,neutral,high,usa,tv station,medium traffic,high credibility
ktvb.com,neutral,high,usa,tv station,medium traffic,high credibility
ktiv.com,neutral,high,usa,tv station,medium traffic,high credibility
ktla.com,neutral,high,usa,tv station,high traffic,high credibility
ktnv.com,neutral,high,usa,tv station,medium traffic,high credibility
ktre.com,neutral,high,usa,tv station,medium traffic,high credibility
ktsm.com,neutral,high,usa,tv station,medium traffic,high credibility
kttc.com,neutral,high,usa,tv station,medium traffic,high credibility
foxla.com,neutral,high,usa,tv station,high traffic,high credibility
webcenterfairbanks.com,neutral,high,usa,tv station,minimal traffic,high credibility
ktvh.com,neutral,high,usa,tv station,minimal traffic,high credibility
